INSERT INTO main_education (id, grade, institution, date_of_graduate, employee_id_id, speciality, description)
VALUES 
(1, 'Среднее полное', 'Московская гимназия №1', '2016-05-30', 1, '-', '-'),
(2, 'Магистр', 'Санкт-Петербургский Государственный Университет', '2018-07-15', 2, 'Экономика', '-'),
(3, 'Среднее техническое', 'Новосибирский Технический Колледж', '2017-06-20', 3, 'Инженерия', '-'),
(4, 'Магистр', 'Уральский Федеральный Университет', '2021-08-25', 4, 'Психология', '-'),
(5, 'Среднее полное', 'Школа №15 г. Воронежа', '2016-05-30', 5, '-', '-'),
(6, 'Среднее полное', 'Школа №7 г. Омска', '2015-06-30', 6, '-', '-'),
(7, 'Бакалавр', 'Московский Государственный Университет', '2022-07-01', 7, 'Физика', '-'),
(8, 'Среднее техническое', 'Техникум №4 г. Екатеринбурга', '2018-05-30', 8, 'Техник', '-'),
(9, 'Среднее полное', 'Гимназия №3 г. Нижнего Новгорода', '2017-06-30', 9, '-', '-'),
(10, 'Среднее техническое', 'Техникум №8 г. Казани', '2016-05-30', 10, 'Технолог', '-'),
(11, 'Среднее полное', 'Лицей №2 г. Самары', '2019-06-30', 11, '-', '-'),
(12, 'Среднее техническое', 'Колледж №10 г. Челябинска', '2018-07-01', 12, 'Строительство', '-'),
(13, 'Среднее полное', 'Школа №11 г. Ростова-на-Дону', '2016-06-30', 13, '-', '-'),
(14, 'Бакалавр', 'Саратовский Государственный Университет', '2020-07-01', 14, 'Политология', '-'),
(15, 'Среднее техническое', 'Техникум №6 г. Уфы', '2017-06-30', 15, 'Электротехника', '-'),
(16, 'Среднее полное', 'Школа №5 г. Красноярска', '2015-06-30', 16, '-', '-'),
(17, 'Бакалавр', 'МГТУ им. Баумана', '2023-07-01', 17, 'Информационные Технологии', '-'),
(18, 'Среднее техническое', 'Политехнический Колледж г. Владивостока', '2019-06-30', 18, 'Машиностроение', '-'),
(19, 'Среднее полное', 'Лицей №1 г. Волгограда', '2016-05-30', 19, '-', '-'),
(20, 'Среднее техническое', 'Техникум №3 г. Иркутска', '2018-07-01', 20, 'Сварщик', '-'),
(21, 'Среднее полное', 'Школа №8 г. Оренбурга', '2017-06-30', 21, '-', '-'),
(22, 'Бакалавр', 'ТГУ им. Державина', '2021-07-01', 22, 'Психология', '-'),
(23, 'Среднее техническое', 'Колледж №12 г. Тюмени', '2016-05-30', 23, 'Технолог пищевых производств', '-'),
(24, 'Среднее полное', 'Школа №10 г. Ярославля', '2018-06-30', 24, '-', '-'),
(25, 'Бакалавр', 'Университет ИТМО', '2022-07-01', 25, 'Программная инженерия', '-'),
(26, 'Среднее техническое', 'Техникум №2 г. Тольятти', '2017-06-30', 26, 'Электромонтажник', '-'),
