INSERT INTO main_property (id, name, inv_num, date_of_rec, status, employee_id_id, description)
VALUES
(1, 'рюкзак', 'инв.14125', '2016-03-12', 'в наличии', 1, '-'),
(2, 'шлем', 'инв.32456', '2017-07-25', 'в наличии', 1, '-'),
(3, 'бронежилет', 'инв.98102', '2019-11-18', 'в наличии', 1, '-'),
(4, 'противогаз', 'инв.56013', '2020-05-30', 'в наличии', 1, '-'),
(5, 'рюкзак', 'инв.78234', '2016-08-08', 'в наличии', 2, '-'),
(6, 'шлем', 'инв.19482', '2017-04-04', 'в наличии', 2, '-'),
(7, 'бронежилет', 'инв.62749', '2018-10-15', 'в наличии', 2, '-'),
(8, 'противогаз', 'инв.51092', '2019-09-21', 'в наличии', 2, '-'),
(9, 'рюкзак', 'инв.37682', '2016-01-23', 'в наличии', 3, '-'),
(10, 'шлем', 'инв.20564', '2017-08-17', 'в наличии', 3, '-'),
(11, 'бронежилет', 'инв.37891', '2018-04-10', 'в наличии', 3, '-'),
(12, 'противогаз', 'инв.94632', '2020-01-05', 'в наличии', 3, '-'),
(13, 'рюкзак', 'инв.81564', '2015-12-01', 'в наличии', 4, '-'),
(14, 'шлем', 'инв.70921', '2016-10-27', 'в наличии', 4, '-'),
(15, 'бронежилет', 'инв.48216', '2018-03-14', 'в наличии', 4, '-'),
(16, 'противогаз', 'инв.63957', '2019-02-09', 'в наличии', 4, '-'),
(17, 'рюкзак', 'инв.50639', '2015-06-07', 'в наличии', 5, '-'),
(18, 'шлем', 'инв.27594', '2016-11-04', 'в наличии', 5, '-'),
(19, 'бронежилет', 'инв.97126', '2017-12-19', 'в наличии', 5, '-'),
(20, 'противогаз', 'инв.38402', '2019-08-25', 'в наличии', 5, '-'),
(21, 'рюкзак', 'инв.73086', '2016-06-16', 'в наличии', 6, '-'),
(22, 'шлем', 'инв.61974', '2017-02-14', 'в наличии', 6, '-'),
(23, 'бронежилет', 'инв.26491', '2018-07-23', 'в наличии', 6, '-'),
(24, 'противогаз', 'инв.94817', '2019-06-18', 'в наличии', 6, '-'),
(25, 'рюкзак', 'инв.53468', '2015-03-05', 'в наличии', 7, '-'),
(26, 'шлем', 'инв.89142', '2016-12-02', 'в наличии', 7, '-'),
(27, 'бронежилет', 'инв.39051', '2018-06-27', 'в наличии', 7, '-'),
(28, 'противогаз', 'инв.72613', '2019-05-23', 'в наличии', 7, '-'),
(29, 'рюкзак', 'инв.15973', '2016-04-20', 'в наличии', 8, '-'),
(30, 'шлем', 'инв.43785', '2017-09-14', 'в наличии', 8, '-'),
(31, 'бронежилет', 'инв.80642', '2018-12-07', 'в наличии', 8, '-'),
(32, 'противогаз', 'инв.37259', '2020-07-01', 'в наличии', 8, '-'),
(33, 'рюкзак', 'инв.29581', '2015-10-24', 'в наличии', 9, '-'),
(34, 'шлем', 'инв.91064', '2016-07-19', 'в наличии', 9, '-'),
(35, 'бронежилет', 'инв.63840', '2017-05-14', 'в наличии', 9, '-'),
(36, 'противогаз', 'инв.14782', '2019-01-08', 'в наличии', 9, '-'),
(37, 'рюкзак', 'инв.85096', '2015-07-03', 'в наличии', 10, '-'),
(38, 'шлем', 'инв.27103', '2016-11-28', 'в наличии', 10, '-'),
(39, 'бронежилет', 'инв.63085', '2018-02-21', 'в наличии', 10, '-'),
(40, 'противогаз', 'инв.52817', '2019-11-16', 'в наличии', 10, '-'),
(41, 'рюкзак', 'инв.74368', '2016-07-18', 'в наличии', 11, '-'),
(42, 'шлем', 'инв.29674', '2017-02-11', 'в наличии', 11, '-'),
(43, 'бронежилет', 'инв.50183', '2018-05-06', 'в наличии', 11, '-'),
(44, 'противогаз', 'инв.96157', '2020-02-29', 'в наличии', 11, '-'),
(45, 'рюкзак', 'инв.87215', '2015-11-22', 'в наличии', 12, '-'),
(46, 'шлем', 'инв.38764', '2017-04-17', 'в наличии', 12, '-'),
(47, 'бронежилет', 'инв.51936', '2018-09-10', 'в наличии', 12, '-'),
(48, 'противогаз', 'инв.90428', '2019-04-05', 'в наличии', 12, '-'),
(49, 'рюкзак', 'инв.63178', '2015-05-27', 'в наличии', 13, '-'),
(50, 'шлем', 'инв.72643', '2016-12-22', 'в наличии', 13, '-'),
(51, 'бронежилет', 'инв.89536', '2018-03-17', 'в наличии', 13, '-'),
(52, 'противогаз', 'инв.48015', '2019-02-10', 'в наличии', 13, '-'),
(53, 'рюкзак', 'инв.64087', '2016-04-02', 'в наличии', 14, '-'),
(54, 'шлем', 'инв.86125', '2017-08-27', 'в наличии', 14, '-'),
(55, 'бронежилет', 'инв.39016', '2018-11-20', 'в наличии', 14, '-'),
(56, 'противогаз', 'инв.50693', '2020-06-14', 'в наличии', 14, '-'),
(57, 'рюкзак', 'инв.41583', '2015-07-07', 'в наличии', 15, '-'),
(58, 'шлем', 'инв.79245', '2016-11-30', 'в наличии', 15, '-'),
(59, 'бронежилет', 'инв.17348', '2018-02-23', 'в наличии', 15, '-'),
(60, 'противогаз', 'инв.40689', '2019-09-19', 'в наличии', 15, '-'),
(61, 'рюкзак', 'инв.72934', '2016-07-15', 'в наличии', 16, '-'),
(62, 'шлем', 'инв.84571', '2017-12-08', 'в наличии', 16, '-'),
(63, 'бронежилет', 'инв.50619', '2019-05-04', 'в наличии', 16, '-'),
(64, 'противогаз', 'инв.93162', '2020-03-30', 'в наличии', 16, '-'),
(65, 'рюкзак', 'инв.29671', '2015-11-24', 'в наличии', 17, '-'),
(66, 'шлем', 'инв.49817', '2017-04-19', 'в наличии', 17, '-'),
(67, 'бронежилет', 'инв.86215', '2018-09-12', 'в наличии', 17, '-'),
(68, 'противогаз', 'инв.41063', '2019-04-07', 'в наличии', 17, '-'),
(69, 'рюкзак', 'инв.68092', '2016-04-04', 'в наличии', 18, '-'),
(70, 'шлем', 'инв.52038', '2017-08-28', 'в наличии', 18, '-'),
(71, 'бронежилет', 'инв.94301', '2018-11-21', 'в наличии', 18, '-'),
(72, 'противогаз', 'инв.19847', '2020-06-15', 'в наличии', 18, '-'),
(73, 'рюкзак', 'инв.40281', '2015-07-08', 'в наличии', 19, '-'),
(74, 'шлем', 'инв.63691', '2016-12-01', 'в наличии', 19, '-'),
(75, 'бронежилет', 'инв.89174', '2018-03-18', 'в наличии', 19, '-'),
(76, 'противогаз', 'инв.69052', '2019-02-11', 'в наличии', 19, '-'),
(77, 'рюкзак', 'инв.74026', '2016-04-03', 'в наличии', 20, '-'),
(78, 'шлем', 'инв.40178', '2017-08-26', 'в наличии', 20, '-'),
(79, 'бронежилет', 'инв.59618', '2018-11-19', 'в наличии', 20, '-'),
(80, 'противогаз', 'инв.15834', '2020-06-13', 'в наличии', 20, '-'),
(81, 'рюкзак', 'инв.67315', '2015-11-23', 'в наличии', 21, '-'),
(82, 'шлем', 'инв.92468', '2017-04-18', 'в наличии', 21, '-'),
(83, 'бронежилет', 'инв.81029', '2018-09-11', 'в наличии', 21, '-'),
(84, 'противогаз', 'инв.49631', '2019-04-06', 'в наличии', 21, '-'),
(85, 'рюкзак', 'инв.59184', '2015-07-09', 'в наличии', 22, '-'),
(86, 'шлем', 'инв.97216', '2016-12-04', 'в наличии', 22, '-'),
(87, 'бронежилет', 'инв.40563', '2018-03-19', 'в наличии', 22, '-'),
(88, 'противогаз', 'инв.36097', '2019-02-12', 'в наличии', 22, '-'),
